Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Diciembre 2014,"14,3 €/m2","+ 0,4 %","+ 3,8 %","+ 7,5 %"
Noviembre 2014,"14,3 €/m2","+ 0,7 %","+ 6,1 %","+ 5,8 %"
Octubre 2014,"14,2 €/m2","+ 2,6 %","+ 6,8 %","+ 4,0 %"
Septiembre 2014,"13,8 €/m2","+ 2,7 %","+ 3,6 %","+ 3,8 %"
Agosto 2014,"13,5 €/m2","+ 1,3 %","+ 1,8 %","+ 3,5 %"
Julio 2014,"13,3 €/m2","- 0,4 %","+ 0,8 %","+ 2,2 %"
Junio 2014,"13,3 €/m2","+ 0,9 %","0,0 %","+ 2,2 %"
Mayo 2014,"13,2 €/m2","+ 0,2 %","- 0,9 %","+ 0,7 %"
Abril 2014,"13,2 €/m2","- 1,1 %","- 1,1 %","- 0,7 %"
Marzo 2014,"13,3 €/m2","0,0 %","0,0 %","0,0 %"
Febrero 2014,"13,3 €/m2","0,0 %","- 1,2 %","+ 0,1 %"
Enero 2014,"13,3 €/m2","0,0 %","- 2,2 %","- 1,2 %"
Diciembre 2013,"13,3 €/m2","- 1,2 %","+ 0,2 %","- 1,2 %"
Noviembre 2013,"13,5 €/m2","- 1,0 %","+ 3,8 %","- 0,2 %"
Octubre 2013,"13,6 €/m2","+ 2,5 %","+ 4,9 %","+ 0,3 %"
Septiembre 2013,"13,3 €/m2","+ 2,4 %","+ 2,0 %","- 0,8 %"
Agosto 2013,"13,0 €/m2",n.d.,"- 0,9 %","- 4,2 %"
Julio 2013,"13,0 €/m2","- 0,3 %","- 2,0 %","- 4,7 %"
Junio 2013,"13,0 €/m2","- 0,6 %","- 2,1 %","- 5,1 %"
Mayo 2013,"13,1 €/m2","- 1,1 %","- 1,5 %","- 4,9 %"
Abril 2013,"13,3 €/m2","- 0,4 %","- 1,7 %","- 3,9 %"
Marzo 2013,"13,3 €/m2","0,0 %","- 1,3 %","- 3,4 %"
Febrero 2013,"13,3 €/m2","- 1,3 %","- 1,5 %","- 5,1 %"
Enero 2013,"13,5 €/m2","0,0 %","- 0,7 %","- 5,5 %"
Diciembre 2012,"13,5 €/m2","- 0,2 %","+ 0,6 %","- 6,3 %"
Noviembre 2012,"13,5 €/m2","- 0,5 %","- 0,3 %","- 6,3 %"
Octubre 2012,"13,6 €/m2","+ 1,4 %","- 0,3 %","- 4,8 %"
Septiembre 2012,"13,4 €/m2","- 1,2 %","- 2,4 %","- 5,3 %"
Agosto 2012,"13,6 €/m2","- 0,5 %","- 1,7 %","- 3,1 %"
Julio 2012,"13,6 €/m2","- 0,8 %","- 1,2 %","- 4,3 %"
Junio 2012,"13,8 €/m2","- 0,4 %","- 0,4 %","- 3,7 %"
Mayo 2012,"13,8 €/m2",n.d.,"- 1,7 %","- 5,1 %"
Abril 2012,"13,8 €/m2",n.d.,"- 3,4 %","- 8,0 %"
Marzo 2012,"13,8 €/m2","- 1,7 %","- 4,2 %","- 8,6 %"
Febrero 2012,"14,0 €/m2","- 1,7 %","- 2,8 %","- 6,4 %"
Enero 2012,"14,3 €/m2","- 0,8 %","0,0 %","- 7,9 %"
Diciembre 2011,"14,4 €/m2","- 0,3 %","+ 1,6 %","- 7,9 %"
Noviembre 2011,"14,4 €/m2","+ 1,1 %","+ 3,2 %","- 3,7 %"
Octubre 2011,"14,3 €/m2","+ 0,8 %","+ 0,3 %","- 7,4 %"
Septiembre 2011,"14,2 €/m2","+ 1,2 %","- 0,8 %","- 8,9 %"
Agosto 2011,"14,0 €/m2","- 1,8 %","- 3,8 %","- 8,4 %"
Julio 2011,"14,3 €/m2","- 0,2 %","- 5,0 %","- 5,0 %"
Junio 2011,"14,3 €/m2","- 1,8 %","- 5,4 %","- 4,8 %"
Mayo 2011,"14,5 €/m2","- 3,0 %","- 3,0 %","- 4,8 %"
Abril 2011,"15,0 €/m2","- 0,7 %","- 3,2 %",n.d.
Marzo 2011,"15,1 €/m2","+ 0,7 %","- 3,4 %","+ 0,7 %"
Febrero 2011,"15,0 €/m2","- 3,2 %",n.d.,n.d.
Enero 2011,"15,5 €/m2","- 0,8 %","+ 0,5 %","+ 0,5 %"
Diciembre 2010,"15,6 €/m2","+ 4,2 %","+ 0,4 %","- 5,8 %"
Noviembre 2010,"15,0 €/m2","- 2,8 %","- 1,8 %","- 10,0 %"
Octubre 2010,"15,4 €/m2","- 0,8 %","+ 2,9 %","- 2,4 %"
Septiembre 2010,"15,6 €/m2","+ 1,8 %","+ 3,7 %","- 2,1 %"
Agosto 2010,"15,3 €/m2","+ 1,9 %",n.d.,n.d.
Julio 2010,"15,0 €/m2",n.d.,n.d.,n.d.
Junio 2010,"15,0 €/m2","- 1,8 %",n.d.,n.d.
Mayo 2010,"15,3 €/m2","+ 1,9 %","+ 1,9 %",n.d.
Abril 2010,"15,0 €/m2",n.d.,"- 2,8 %",n.d.
Marzo 2010,"15,0 €/m2",n.d.,"- 9,5 %",n.d.
Febrero 2010,"15,0 €/m2","- 2,8 %","- 10,0 %",n.d.
Enero 2010,"15,4 €/m2","- 6,9 %","- 2,4 %",n.d.
Diciembre 2009,"16,6 €/m2","- 0,5 %","+ 4,4 %",n.d.
Noviembre 2009,"16,7 €/m2","+ 5,5 %",n.d.,n.d.
Octubre 2009,"15,8 €/m2","- 0,5 %",n.d.,n.d.
Septiembre 2009,"15,9 €/m2",n.d.,n.d.,n.d.
Agosto 2009,n.d.,n.d.,n.d.,n.d.
Julio 2009,n.d.,n.d.,n.d.,n.d.
Junio 2009,n.d.,n.d.,n.d.,n.d.
Mayo 2009,n.d.,n.d.,n.d.,n.d.
Abril 2009,n.d.,n.d.,n.d.,n.d.
Marzo 2009,n.d.,n.d.,n.d.,n.d.
Febrero 2009,n.d.,n.d.,n.d.,n.d.
Enero 2009,n.d.,n.d.,n.d.,n.d.
Diciembre 2008,n.d.,n.d.,n.d.,n.d.
Noviembre 2008,n.d.,n.d.,n.d.,n.d.
Octubre 2008,n.d.,n.d.,n.d.,n.d.
Septiembre 2008,n.d.,n.d.,n.d.,n.d.
Agosto 2008,n.d.,n.d.,n.d.,n.d.
Julio 2008,n.d.,n.d.,n.d.,n.d.
Junio 2008,n.d.,n.d.,n.d.,n.d.
Mayo 2008,n.d.,n.d.,n.d.,n.d.
Abril 2008,n.d.,n.d.,n.d.,n.d.
Marzo 2008,n.d.,n.d.,n.d.,n.d.
Febrero 2008,n.d.,n.d.,n.d.,n.d.
Enero 2008,n.d.,n.d.,n.d.,n.d.
Diciembre 2007,n.d.,n.d.,n.d.,n.d.
Noviembre 2007,n.d.,n.d.,n.d.,n.d.
Octubre 2007,n.d.,n.d.,n.d.,n.d.
Septiembre 2007,n.d.,n.d.,n.d.,n.d.
Agosto 2007,n.d.,n.d.,n.d.,n.d.
Julio 2007,n.d.,n.d.,n.d.,n.d.
Junio 2007,n.d.,n.d.,n.d.,n.d.
Mayo 2007,n.d.,n.d.,n.d.,n.d.
Abril 2007,n.d.,n.d.,n.d.,n.d.
Marzo 2007,n.d.,n.d.,n.d.,n.d.
Febrero 2007,n.d.,n.d.,n.d.,n.d.
Enero 2007,n.d.,n.d.,n.d.,n.d.
Diciembre 2006,n.d.,n.d.,n.d.,n.d.
Noviembre 2006,n.d.,n.d.,n.d.,n.d.
Octubre 2006,n.d.,n.d.,n.d.,n.d.
Septiembre 2006,n.d.,n.d.,n.d.,n.d.
Agosto 2006,n.d.,n.d.,n.d.,n.d.
Julio 2006,n.d.,n.d.,n.d.,n.d.
Junio 2006,n.d.,n.d.,n.d.,n.d.
Mayo 2006,n.d.,n.d.,n.d.,n.d.
Abril 2006,n.d.,n.d.,n.d.,n.d.
Marzo 2006,n.d.,n.d.,n.d.,n.d.
Febrero 2006,n.d.,n.d.,n.d.,n.d.
Enero 2006,n.d.,n.d.,n.d.,n.d.
