Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Noviembre 2010,"13,3 €/m2","- 3,0 %","- 4,0 %","+ 2,6 %"
Octubre 2010,"13,8 €/m2","- 3,1 %","+ 1,8 %","- 2,6 %"
Septiembre 2010,"14,2 €/m2","+ 2,1 %","+ 0,9 %","+ 3,1 %"
Agosto 2010,"13,9 €/m2","+ 2,9 %","- 4,0 %","0,0 %"
Julio 2010,"13,5 €/m2","- 4,0 %","- 6,5 %",n.d.
Junio 2010,"14,1 €/m2","- 2,8 %","+ 4,1 %",n.d.
Mayo 2010,"14,5 €/m2","+ 0,1 %","+ 2,5 %",n.d.
Abril 2010,"14,4 €/m2","+ 7,0 %","+ 11,8 %",n.d.
Marzo 2010,"13,5 €/m2","- 4,4 %","+ 4,5 %",n.d.
Febrero 2010,"14,1 €/m2","+ 9,2 %","+ 8,6 %",n.d.
Enero 2010,"12,9 €/m2",n.d.,"- 8,5 %",n.d.
Diciembre 2009,"12,9 €/m2","- 0,6 %","- 6,0 %",n.d.
Noviembre 2009,"13,0 €/m2","- 7,9 %","- 6,4 %",n.d.
Octubre 2009,"14,1 €/m2","+ 2,7 %",n.d.,n.d.
Septiembre 2009,"13,8 €/m2","- 1,0 %",n.d.,n.d.
Agosto 2009,"13,9 €/m2",n.d.,n.d.,n.d.
Julio 2009,n.d.,n.d.,n.d.,n.d.
Junio 2009,n.d.,n.d.,n.d.,n.d.
Mayo 2009,n.d.,n.d.,n.d.,n.d.
Abril 2009,n.d.,n.d.,n.d.,n.d.
Marzo 2009,n.d.,n.d.,n.d.,n.d.
Febrero 2009,n.d.,n.d.,n.d.,n.d.
Enero 2009,n.d.,n.d.,n.d.,n.d.
Diciembre 2008,n.d.,n.d.,n.d.,n.d.
Noviembre 2008,n.d.,n.d.,n.d.,n.d.
Octubre 2008,n.d.,n.d.,n.d.,n.d.
Septiembre 2008,n.d.,n.d.,n.d.,n.d.
Agosto 2008,n.d.,n.d.,n.d.,n.d.
Julio 2008,n.d.,n.d.,n.d.,n.d.
Junio 2008,n.d.,n.d.,n.d.,n.d.
Mayo 2008,n.d.,n.d.,n.d.,n.d.
Abril 2008,n.d.,n.d.,n.d.,n.d.
Marzo 2008,n.d.,n.d.,n.d.,n.d.
Febrero 2008,n.d.,n.d.,n.d.,n.d.
Enero 2008,n.d.,n.d.,n.d.,n.d.
Diciembre 2007,n.d.,n.d.,n.d.,n.d.
Noviembre 2007,n.d.,n.d.,n.d.,n.d.
Octubre 2007,n.d.,n.d.,n.d.,n.d.
Septiembre 2007,n.d.,n.d.,n.d.,n.d.
Agosto 2007,n.d.,n.d.,n.d.,n.d.
Julio 2007,n.d.,n.d.,n.d.,n.d.
Junio 2007,n.d.,n.d.,n.d.,n.d.
Mayo 2007,n.d.,n.d.,n.d.,n.d.
Abril 2007,n.d.,n.d.,n.d.,n.d.
Marzo 2007,n.d.,n.d.,n.d.,n.d.
Febrero 2007,n.d.,n.d.,n.d.,n.d.
Enero 2007,n.d.,n.d.,n.d.,n.d.
Diciembre 2006,n.d.,n.d.,n.d.,n.d.
